mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	29						
7	7	9	9	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	30						
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	31						
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	32						
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	33						
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	34						
7	7	10	10	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	35						
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	36						
8	8	11	11	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	37						
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	38						
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	39						
8	8	21/2	21/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	40						
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	41						
9	9	12	12	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	42						
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	43						
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	44						
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	45						
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	46						
9	9	13	13	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	47						
10	10	27/2	27/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	48						
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	49						
10	10	14	14	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	50						
10	10	57/4	57/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	51						
10	10	29/2	29/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	52						
10	10	59/4	59/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	53						
10	10	27/2	27/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	54						
10	10	14	14	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	55						
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	56						
11	11	15	15	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	57						
11	11	65/4	65/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	58						
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	59						
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	60						
11	11	63/4	63/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	61						
11	11	16	16	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	62						
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	63						
12	12	17	17	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	64						
12	12	69/4	69/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	65						
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	66						
12	12	33/2	33/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	67						
12	12	71/4	71/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	68						
13	13	18	18	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	69						
13	13	77/4	77/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	70						
13	13	73/4	73/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	71						
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	72						
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	73						
13	13	19	19	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	74						
14	14	79/4	79/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	75						
14	14	20	20	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	76						
14	14	81/4	81/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	77						
14	14	41/2	41/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	78						
14	14	39/2	39/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	79						
14	14	83/4	83/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	80						
15	15	21	21	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	81						
15	15	89/4	89/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	82						
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	83						
15	15	43/2	43/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	84						
15	15	87/4	87/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	85						
15	15	22	22	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	86						
16	16	91/4	91/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	87						
16	16	23	23	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	88						
16	16	93/4	93/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	89						
16	16	47/2	47/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	90						
16	16	45/2	45/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	91						
16	16	95/4	95/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	92						
17	17	24	24	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	93						
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	94						
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	95						
17	17	49/2	49/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	96						
17	17	99/4	99/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	97						
17	17	25	25	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	98						
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	99						
18	18	51/2	51/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	100						
18	18	103/4	103/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	101						
18	18	26	26	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	102						
18	18	105/4	105/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	103						
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	104						
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	105						
18	18	51/2	51/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	106						
18	18	103/4	103/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	107						
18	18	26	26	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	108						
18	18	105/4	105/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	109						
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	110						
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	111						
19	19	28	28	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	112						
19	19	27	27	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	113						
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	114						
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	115						
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	116						
19	19	28	28	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	117						
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	118						
19	19	27	27	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	119						
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	120						
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	121						
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	122						
19	19	28	28	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	123						
20	20	57/2	57/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	124						
20	20	115/4	115/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	125						
20	20	29	29	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	126						
20	20	117/4	117/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	127						
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	128						
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	129						
20	20	57/2	57/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	130						
20	20	115/4	115/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	131						
20	20	29	29	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	132						
20	20	117/4	117/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	133						
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	134						
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	135						
21	21	30	30	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	136						
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	137						
21	21	61/2	61/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	138						
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	139						
21	21	31	31	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	140						
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	141						
21	21	30	30	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	142						
21	21	61/2	61/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	143						
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	144						
21	21	31	31	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	145						
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	146						
22	22	63/2	63/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	147						
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	148						
22	22	32	32	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	149						
22	22	129/4	129/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	150						
22	22	65/2	65/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	151						
22	22	131/4	131/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	152						
22	22	63/2	63/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	153						
22	22	32	32	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	154						
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	155						
23	23	33	33	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	156						
23	23	133/4	133/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	157						
23	23	67/2	67/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	158						
23	23	135/4	135/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	159						
23	23	34	34	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	160						
23	23	137/4	137/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	161						
23	23	33	33	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	162						
23	23	34	34	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	163						
24	24	69/2	69/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	164						
24	24	139/4	139/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	165						
24	24	35	35	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	166						
24	24	141/4	141/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	167						
24	24	71/2	71/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	168						
24	24	143/4	143/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	169						
24	24	69/2	69/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	170						
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	171						
25	25	36	36	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	172						
25	25	145/4	145/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	173						
25	25	73/2	73/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	174						
25	25	147/4	147/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	175						
25	25	37	37	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	176						
25	25	149/4	149/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	177						
25	25	36	36	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	178						
25	25	37	37	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	179						
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	180						
26	26	75/2	75/2	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	181						
26	26	151/4	151/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	182						
26	26	38	38	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	183						
26	26	153/4	153/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	184						
26	26	77/2	77/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	185						
26	26	155/4	155/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	186						
26	26	75/2	75/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	187						
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	188						
27	27	39	39	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	189						
27	27	39	39	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	190						
27	27	157/4	157/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	191						
27	27	79/2	79/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	192						
27	27	159/4	159/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	193						
27	27	40	40	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	194						
27	27	161/4	161/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	195						
27	27	39	39	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	196						
27	27	40	40	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	197						
28	28	81/2	81/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	198						
28	28	163/4	163/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	199						
28	28	41	41	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	200						
28	28	165/4	165/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	201						
28	28	83/2	83/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	202						
28	28	167/4	167/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	203						
28	28	81/2	81/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	204						
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	205						
29	29	42	42	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	206						
29	29	169/4	169/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	207						
29	29	85/2	85/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	208						
29	29	171/4	171/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	209						
29	29	43	43	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	210						
29	29	173/4	173/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	211						
29	29	42	42	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	212						
29	29	43	43	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	213						
30	30	87/2	87/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	214						
30	30	175/4	175/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	215						
30	30	44	44	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	216						
30	30	177/4	177/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	217						
30	30	89/2	89/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	218						
30	30	179/4	179/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	219						
30	30	87/2	87/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	220						
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	221						
31	31	45	45	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	222						
31	31	181/4	181/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	223						
31	31	91/2	91/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	224						
31	31	183/4	183/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	225						
31	31	46	46	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	226						
31	31	185/4	185/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	227						
31	31	45	45	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	228						
31	31	183/4	183/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	229						
31	31	46	46	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	230						
31	31	185/4	185/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	231						
32	32	47	47	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	232						
32	32	93/2	93/2	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	233						
32	32	187/4	187/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	234						
32	32	47	47	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	235						
32	32	189/4	189/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	236						
32	32	95/2	95/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	237						
32	32	191/4	191/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	238						
32	32	93/2	93/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	239						
32	32	47	47	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	240						
32	32	95/2	95/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	241						
33	33	48	48	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	242						
33	33	48	48	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	243						
33	33	193/4	193/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	244						
33	33	97/2	97/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	245						
33	33	195/4	195/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	246						
33	33	49	49	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	247						
33	33	197/4	197/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	248						
33	33	48	48	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	249						
34	34	99/2	99/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	250						
34	34	50	50	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	251						
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	252						
34	34	99/2	99/2	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	253						
34	34	199/4	199/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	254						
34	34	50	50	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	255						
34	34	201/4	201/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	256						
34	34	101/2	101/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	257						
34	34	203/4	203/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	258						
34	34	99/2	99/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	259						
35	35	51	51	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	260						
35	35	51	51	1.5	0	0	Chord	3/8	1	2	3/8		1/4	3/2	261						
35	35	51	51	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	262						
36	36	105/2	105/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	263						
36	36	53	53	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	264						
36	36	107/2	107/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	265						
37	37	54	54	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	266						
37	37	109/2	109/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	267						
37	37	55	55	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	268						
38	38	111/2	111/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	269						
38	38	223/4	223/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	270						
38	38	56	56	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	271						
38	38	225/4	225/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	272						
38	38	113/2	113/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	273						
38	38	227/4	227/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	274						
39	39	229/4	229/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	275						
39	39	115/2	115/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	276						
39	39	231/4	231/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	277						
39	39	58	58	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	278						
39	39	233/4	233/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	279						
39	39	57	57	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	280						
39	39	229/4	229/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	281						
39	39	115/2	115/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	282						
39	39	231/4	231/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	283						
39	39	58	58	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	284						
39	39	233/4	233/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	285						
40	40	235/4	235/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	286						
40	40	59	59	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	287						
40	40	237/4	237/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	288						
40	40	119/2	119/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	289						
40	40	239/4	239/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	290						
