mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	slur
1	0	0	0	0.0	0	5/8	StaffText	6/8	1	1	0						Allegro	
1	0	0	0	0.5	0	5/8	Chord	6/8	1	1	1/8		1/8	1	0			
2	1	1/2	1/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1			
2	1	1	1	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	2			
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	3			
2	1	2	2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	4			
2	1	5/2	5/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	5			
2	1	3	3	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	6			
2	1	1/2	1/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	7			
2	1	2	2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	8			
3	2	7/2	7/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	9	ornamentTrill		
3	2	5	5	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	10			
3	2	6	6	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	11			
3	2	7/2	7/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	12			
3	2	4	4	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	13			
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	14			
3	2	5	5	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	15			
3	2	11/2	11/2	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	16			
3	2	6	6	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	17			
4	3	13/2	13/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	18			
4	3	7	7	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	19			
4	3	29/4	29/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	20			
4	3	15/2	15/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	21			
4	3	31/4	31/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	22			
4	3	8	8	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	23			
4	3	17/2	17/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	24			
4	3	35/4	35/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	25			
4	3	9	9	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	26			
4	3	37/4	37/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	27			
4	3	13/2	13/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	28			
4	3	8	8	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	29			
4	3	13/2	13/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	30			
4	3	8	8	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	31			
5	4	19/2	19/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	32			
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	33			
5	4	11	11	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	34			
5	4	12	12	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	35			
5	4	11	11	0.25	3/8	3/8	Chord	6/8	1	2	1/16		1/16	1	36			
5	4	45/4	45/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16		1/16	1	37			
5	4	23/2	23/2	0.25	1/2	1/2	Chord	6/8	1	2	1/16		1/16	1	38			
5	4	47/4	47/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16		1/16	1	39			
5	4	12	12	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	40			
5	4	19/2	19/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	41			
5	4	10	10	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	42			
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	43			
6	5	25/2	25/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	44			
6	5	13	13	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	45			
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	46			
6	5	14	14	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	47			
6	5	29/2	29/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	48			
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	49			
6	5	25/2	25/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	50			
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	51			
6	5	14	14	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	52			
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	53			
7	6	31/2	31/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	54			
7	6	16	16	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	55			
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	56			
7	6	17	17	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	57			
7	6	35/2	35/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	58			
7	6	18	18	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	59			
7	6	31/2	31/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	60			
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	61			
7	6	17	17	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	62			
7	6	18	18	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	63			
8	7	37/2	37/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	64			
8	7	19	19	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	65			
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	66			
8	7	20	20	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	67			
8	7	41/2	41/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	68			
8	7	21	21	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	69			
8	7	37/2	37/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	70			
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	71			
8	7	20	20	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	72			
8	7	21	21	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	73			
9	8	43/2	43/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	74			
9	8	22	22	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	75			
9	8	89/4	89/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	76			
9	8	45/2	45/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	77			
