mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation
4	4	23/4	23/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	32	
4	4	9/2	9/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	33	
4	4	14/3	14/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	34	
4	4	29/6	29/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	35	
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	36	
5	5	6	6	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	37	
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	38	
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	39	
5	5	6	6	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	40	
5	5	13/2	13/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	41	
5	5	27/4	27/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	42	
5	5	7	7	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	43	
5	5	29/4	29/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	44	
6	6	15/2	15/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	45	
6	6	8	8	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	46	
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	47	
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	48	
6	6	8	8	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	49	
6	6	33/4	33/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	50	
6	6	17/2	17/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	51	
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	52	
7	7	9	9	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	53	
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	54	
7	7	10	10	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	55	
7	7	9	9	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	56	
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	57	
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	58	
7	7	10	10	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	59	
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	60	
8	8	21/2	21/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	61	
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	62	
8	8	11	11	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	63	
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	64	
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	65	
8	8	21/2	21/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	66	
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	67	
8	8	11	11	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	68	
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	69	
9	9	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	70	ornamentTrill
9	9	12	12	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	71	
9	9	97/8	97/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	72	
9	9	49/4	49/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	73	
9	9	99/8	99/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	74	
9	9	25/2	25/2	0.125	1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	75	
9	9	101/8	101/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	76	
9	9	51/4	51/4	0.125	3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	77	
9	9	103/8	103/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	78	
9	9	13	13	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	79	
9	9	105/8	105/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	80	
9	9	53/4	53/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	81	
9	9	107/8	107/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	82	
9	9	27/2	27/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	83	
9	9	109/8	109/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	84	
9	9	55/4	55/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	85	
9	9	111/8	111/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	86	
9	9	14	14	0.125	1/2	1/2	Chord	4/4	2	1	1/32		1/32	1	87	
9	9	113/8	113/8	0.125	17/32	17/32	Chord	4/4	2	1	1/32		1/32	1	88	
9	9	57/4	57/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	89	
9	9	115/8	115/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	90	
9	9	29/2	29/2	0.125	5/8	5/8	Chord	4/4	2	1	1/32		1/32	1	91	
9	9	117/8	117/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32		1/32	1	92	
9	9	59/4	59/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	93	
9	9	119/8	119/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	94	
9	9	15	15	0.125	3/4	3/4	Chord	4/4	2	1	1/32		1/32	1	95	
9	9	121/8	121/8	0.125	25/32	25/32	Chord	4/4	2	1	1/32		1/32	1	96	
9	9	61/4	61/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	97	
9	9	123/8	123/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	98	
9	9	31/2	31/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	99	
9	9	125/8	125/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	100	
9	9	63/4	63/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	101	
9	9	127/8	127/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	102	
10	10	16	16	0.125	0	0	Chord	4/4	1	1	1/32		1/32	1	103	
10	10	129/8	129/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32		1/32	1	104	
10	10	65/4	65/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	105	
10	10	131/8	131/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	106	
10	10	33/2	33/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	107	
10	10	133/8	133/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	108	
10	10	67/4	67/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	109	
10	10	135/8	135/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	110	
10	10	17	17	0.1	1/4	1/4	Chord	4/4	1	1	1/40		1/32	4/5	111	
10	10	171/10	171/10	0.1	11/40	11/40	Chord	4/4	1	1	1/40		1/32	4/5	112	
10	10	86/5	86/5	0.1	3/10	3/10	Chord	4/4	1	1	1/40		1/32	4/5	113	
10	10	173/10	173/10	0.1	13/40	13/40	Chord	4/4	1	1	1/40		1/32	4/5	114	
10	10	87/5	87/5	0.1	7/20	7/20	Chord	4/4	1	1	1/40		1/32	4/5	115	
10	10	35/2	35/2	0.1	3/8	3/8	Chord	4/4	1	1	1/40		1/32	4/5	116	
10	10	88/5	88/5	0.1	2/5	2/5	Chord	4/4	1	1	1/40		1/32	4/5	117	
10	10	177/10	177/10	0.1	17/40	17/40	Chord	4/4	1	1	1/40		1/32	4/5	118	
10	10	89/5	89/5	0.1	9/20	9/20	Chord	4/4	1	1	1/40		1/32	4/5	119	
10	10	179/10	179/10	0.1	19/40	19/40	Chord	4/4	1	1	1/40		1/32	4/5	120	
10	10	16	16	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	121	
10	10	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	122	ornamentTrill
11	11	20	20	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	123	
11	11	41/2	41/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	124	
11	11	21	21	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	125	
11	11	20	20	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	126	
11	11	81/4	81/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	127	
11	11	41/2	41/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	128	
11	11	83/4	83/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	129	
11	11	21	21	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	130	
11	11	85/4	85/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	131	
12	12	43/2	43/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	132	
12	12	87/4	87/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	133	
12	12	22	22	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	134	
12	12	89/4	89/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	135	
12	12	45/2	45/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	136	
12	12	91/4	91/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	137	
12	12	43/2	43/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	138	
13	13	23	23	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	139	
13	13	47/2	47/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	140	
13	13	24	24	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	141	
13	13	23	23	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	142	
13	13	93/4	93/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	143	
13	13	47/2	47/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	144	
13	13	95/4	95/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	145	
13	13	24	24	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	146	
13	13	97/4	97/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	147	
14	14	49/2	49/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	148	
14	14	99/4	99/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	149	
14	14	25	25	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	150	
14	14	101/4	101/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	151	
14	14	51/2	51/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	152	
14	14	103/4	103/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	153	
14	14	49/2	49/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	154	
15	15	26	26	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	155	
15	15	53/2	53/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	156	
15	15	27	27	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	157	
15	15	26	26	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	158	
15	15	105/4	105/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	159	
15	15	53/2	53/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	160	
15	15	107/4	107/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	161	
15	15	27	27	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	162	
15	15	109/4	109/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	163	
16	16	55/2	55/2	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	164	
16	16	113/4	113/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	165	
16	16	57/2	57/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	166	
16	16	117/4	117/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	167	
16	16	59/2	59/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	168	
16	16	121/4	121/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	169	
16	16	61/2	61/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	170	
16	16	123/4	123/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	171	
16	16	31	31	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	172	
16	16	125/4	125/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	173	
16	16	55/2	55/2	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	174	
16	16	113/4	113/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	175	
16	16	57/2	57/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	176	
16	16	117/4	117/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	177	
16	16	59/2	59/2	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	178	
16	16	121/4	121/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	179	
16	16	61/2	61/2	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	180	
16	16	123/4	123/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	181	
16	16	31	31	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	182	
16	16	125/4	125/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	183	
17	17	63/2	63/2	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	184	
17	17	127/4	127/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	185	
17	17	32	32	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	186	
17	17	129/4	129/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	187	
17	17	65/2	65/2	0.125	1/4	1/4	Chord	4/4	1	1	1/32		1/32	1	188	
17	17	261/8	261/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32		1/32	1	189	
17	17	131/4	131/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	190	
17	17	263/8	263/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	191	
17	17	33	33	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	192	
17	17	265/8	265/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	193	
17	17	133/4	133/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	194	
17	17	267/8	267/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	195	
17	17	67/2	67/2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	196	ornamentTrill
17	17	63/2	63/2	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	197	
17	17	127/4	127/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	198	
17	17	32	32	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	199	
17	17	129/4	129/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	200	
17	17	65/2	65/2	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	201	
17	17	261/8	261/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	202	
17	17	131/4	131/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	203	
17	17	263/8	263/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	204	
17	17	33	33	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	205	
17	17	265/8	265/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	206	
17	17	133/4	133/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	207	
17	17	267/8	267/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	208	
17	17	67/2	67/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	209	ornamentTrill
18	18	71/2	71/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	210	
18	18	143/4	143/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	211	
18	18	36	36	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	212	
18	18	145/4	145/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	213	
18	18	73/2	73/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	214	
18	18	147/4	147/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	215	
18	18	71/2	71/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	216	
18	18	36	36	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	217	
18	18	73/2	73/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	218	
19	19	37	37	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	219	
19	19	149/4	149/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	220	
19	19	75/2	75/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	221	
19	19	151/4	151/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	222	
19	19	38	38	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	223	
19	19	153/4	153/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	224	
19	19	37	37	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	225	
20	20	77/2	77/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	226	
20	20	155/4	155/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	227	
20	20	39	39	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	228	
20	20	157/4	157/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	229	
20	20	79/2	79/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	230	
20	20	159/4	159/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	231	
20	20	77/2	77/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	232	
20	20	39	39	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	233	
20	20	79/2	79/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	234	
21	21	40	40	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	235	
21	21	161/4	161/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	236	
21	21	81/2	81/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	237	
21	21	163/4	163/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	238	
21	21	41	41	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	239	
21	21	165/4	165/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	240	
21	21	40	40	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	241	
22	22	83/2	83/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	242	
22	22	167/4	167/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	243	
22	22	42	42	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	244	
22	22	169/4	169/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	245	
22	22	85/2	85/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	246	
22	22	171/4	171/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	247	
22	22	83/2	83/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	248	
22	22	42	42	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	249	
22	22	85/2	85/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	250	
23	23	43	43	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	251	
23	23	173/4	173/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	252	
23	23	87/2	87/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	253	
23	23	175/4	175/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	254	
23	23	44	44	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	255	
23	23	177/4	177/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	256	
23	23	43	43	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	257	
24	24	89/2	89/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	258	
24	24	179/4	179/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	259	
24	24	45	45	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	260	
24	24	181/4	181/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	261	
24	24	91/2	91/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	262	
24	24	183/4	183/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	263	
24	24	89/2	89/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	264	
24	24	45	45	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	265	
24	24	91/2	91/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	266	
25	25	46	46	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	267	
25	25	185/4	185/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	268	
25	25	93/2	93/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	269	
25	25	187/4	187/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	270	
25	25	47	47	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	271	
25	25	189/4	189/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	272	
25	25	46	46	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	273	
25	25	93/2	93/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	274	
25	25	47	47	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	275	
26	26	95/2	95/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	276	
26	26	191/4	191/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	277	
26	26	48	48	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	278	
26	26	193/4	193/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	279	
26	26	97/2	97/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	280	
26	26	195/4	195/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	281	
26	26	95/2	95/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	282	
26	26	191/4	191/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	283	
26	26	48	48	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	284	
26	26	193/4	193/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	285	
26	26	97/2	97/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	286	
26	26	195/4	195/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	287	
27	27	49	49	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	288	
