mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0						Larghetto	48.0	1.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0					
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1					0
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2					0
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	3					0
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	4					
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	5					
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	6					
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	7					
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	8					1
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	9					1
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	10					1
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	11					
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	12					
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	13					
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	14					
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	15					
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	16					2
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	17					2
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	18					2
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	19					
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	20					
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	21					
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	22					
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	23					
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	24	ornamentShortTrill				3
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	25					
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	26					
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	27					
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	28					
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29					
4	4	9	9	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	30					
