mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible
5	5	6	6	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	28			
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	29			
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	30			
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	31			
5	5	6	6	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	32			
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	33			
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	34			
6	6	15/2	15/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	35			
6	6	31/4	31/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	36			
6	6	8	8	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	37			
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	38			
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	39			
6	6	8	8	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	40			
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	41			
7	7	9	9	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	42			
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	43			
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	44			
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	45			
7	7	10	10	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	46			
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	47			
7	7	9	9	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	48			
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	49			
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	50			
8	8	21/2	21/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	51			
8	8	11	11	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	52			
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	53			
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	54			
8	8	21/2	21/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	55			
8	8	11	11	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	56			
9	9	12	12	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	57			
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	58			
9	9	13	13	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	59			
9	9	12	12	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	60			
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	61			
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	62			
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	63			
9	9	13	13	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	64			
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	65			
10	10	27/2	27/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	66			
10	10	14	14	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	67			
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	68			
10	10	27/2	27/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	69			
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	70			
10	10	14	14	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	71			
10	10	57/4	57/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	72			
10	10	29/2	29/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	73			
10	10	59/4	59/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	74			
11	11	15	15	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	75			
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	76			
11	11	16	16	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	77			
11	11	15	15	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	78			
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	79			
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	80			
11	11	63/4	63/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	81			
11	11	16	16	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	82			
11	11	65/4	65/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	83			
12	12	33/2	33/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	84			
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	85			
12	12	17	17	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	86			
12	12	69/4	69/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	87			
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	88			
12	12	33/2	33/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	89			
13	13	18	18	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	90			
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	91			
13	13	19	19	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	92			
13	13	18	18	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	93			
13	13	73/4	73/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	94			
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	95			
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	96			
13	13	19	19	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	97			
13	13	77/4	77/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	98			
14	14	39/2	39/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	99			
14	14	20	20	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	100			
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	101			
14	14	39/2	39/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	102			
14	14	79/4	79/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	103			
14	14	20	20	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	104			
14	14	81/4	81/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	105			
14	14	41/2	41/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	106			
14	14	83/4	83/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	107			
15	15	21	21	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	108			
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	109			
15	15	22	22	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	110			
15	15	21	21	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	111			
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	112			
15	15	43/2	43/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	113			
15	15	87/4	87/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	114			
15	15	22	22	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	115			
15	15	89/4	89/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	116			
16	16	45/2	45/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	117			
16	16	23	23	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	118			
16	16	93/4	93/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	119			
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	120			
16	16	45/2	45/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	121			
17	17	24	24	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	122			
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	123			
17	17	49/2	49/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	124			
17	17	99/4	99/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	125			
17	17	25	25	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	126			
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	127			
17	17	24	24	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	128			
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	129			
17	17	25	25	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	130			
18	18	51/2	51/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	131			
18	18	103/4	103/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	132			
18	18	26	26	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	133			
18	18	105/4	105/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	134			
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	135			
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	136			
18	18	51/2	51/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	137			
18	18	26	26	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	138			
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	139			
19	19	27	27	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	140			
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	141			
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	142			
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	143			
19	19	28	28	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	144			
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	145			
19	19	27	27	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	146			
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	147			
19	19	28	28	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	148			
20	20	57/2	57/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	149			
20	20	115/4	115/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	150			
20	20	29	29	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	151			
20	20	117/4	117/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	152			
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	153			
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	154			
20	20	57/2	57/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	155			
20	20	29	29	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	156			
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	157			
21	21	30	30	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	158			
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	159			
21	21	31	31	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	160			
21	21	30	30	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	161			
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	162			
21	21	61/2	61/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	163			
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	164			
21	21	31	31	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	165			
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	166			
22	22	63/2	63/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	167			
22	22	32	32	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	168			
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	169			
22	22	63/2	63/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	170			
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	171			
22	22	32	32	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	172			
22	22	129/4	129/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	173			
22	22	65/2	65/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	174			
22	22	131/4	131/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	175			
23	23	33	33	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	176			
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	177			
23	23	34	34	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	178			
23	23	33	33	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	179			
23	23	133/4	133/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	180			
23	23	67/2	67/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	181			
23	23	135/4	135/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	182			
23	23	34	34	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	183			
23	23	137/4	137/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	184			
24	24	69/2	69/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	185			
24	24	139/4	139/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	186			
24	24	35	35	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	187			
24	24	141/4	141/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	188			
24	24	71/2	71/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	189			
24	24	143/4	143/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	190			
24	24	69/2	69/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	191			
25	25	36	36	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	192			
25	25	145/4	145/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	193			
25	25	73/2	73/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	194			
25	25	147/4	147/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	195			
25	25	37	37	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	196			
25	25	149/4	149/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	197			
25	25	36	36	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	198			
25	25	73/2	73/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	199			
25	25	37	37	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	200			
26	26	75/2	75/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	201			
26	26	151/4	151/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	202			
26	26	38	38	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	203			
26	26	153/4	153/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	204			
26	26	77/2	77/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	205			
26	26	155/4	155/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	206			
26	26	75/2	75/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	207			
26	26	38	38	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	208			
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	209			
27	27	39	39	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	210			
27	27	157/4	157/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	211			
27	27	79/2	79/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	212			
27	27	159/4	159/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	213			
27	27	40	40	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	214			
27	27	161/4	161/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	215			
27	27	39	39	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	216			
27	27	79/2	79/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	217			
27	27	40	40	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	218			
28	28	81/2	81/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	219			
28	28	163/4	163/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	220			
28	28	41	41	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	221			
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	222			
28	28	81/2	81/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	223			
28	28	41	41	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	224			
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	225			
29	29	42	42	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	226			
29	29	169/4	169/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	227			
29	29	85/2	85/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	228			
29	29	43	43	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	229			
29	29	42	42	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	230			
29	29	85/2	85/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	231			
29	29	43	43	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	232			
30	30	87/2	87/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	233			
30	30	175/4	175/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	234			
30	30	44	44	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	235			
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	236			
30	30	87/2	87/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	237			
30	30	44	44	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	238			
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	239			
31	31	45	45	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	240			
31	31	181/4	181/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	241			
31	31	91/2	91/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	242			
31	31	46	46	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	243			
31	31	45	45	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	244			
31	31	91/2	91/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	245			
32	32	93/2	93/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	246			
32	32	187/4	187/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	247			
32	32	47	47	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	248			
32	32	95/2	95/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	249			
32	32	47	47	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	250			
32	32	95/2	95/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	251			
33	33	48	48	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	252			
33	33	193/4	193/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	253			
33	33	97/2	97/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	254			
33	33	49	49	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	255			
33	33	97/2	97/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	256			
33	33	49	49	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	257			
34	34	99/2	99/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	258			
34	34	199/4	199/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	259			
34	34	50	50	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	260			
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	261			
34	34	50	50	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	262			
34	34	50	50	0.5	1/8	1/8	Chord	3/8	2	2	1/8	1/8	1	263			
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8	1/8	1	264			
35	35	51	51	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	265			
35	35	205/4	205/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	266			
35	35	103/2	103/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	267			
35	35	52	52	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	268			
35	35	51	51	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	269			
35	35	103/2	103/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	270			
35	35	52	52	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	271			
35	35	51	51	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	272			
36	36	105/2	105/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	273			
36	36	211/4	211/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	274			
36	36	53	53	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	275			
36	36	107/2	107/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	276			
36	36	105/2	105/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	277			
36	36	211/4	211/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	278			
36	36	53	53	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	279			
36	36	107/2	107/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	280			
36	36	105/2	105/2	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	281			
37	37	54	54	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	282			
37	37	217/4	217/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	283			
37	37	109/2	109/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	284			
37	37	219/4	219/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	285			
37	37	55	55	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	286			
37	37	221/4	221/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	287			
37	37	54	54	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	288			
37	37	109/2	109/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	289			
37	37	55	55	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	290			
38	38	111/2	111/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	291			
38	38	223/4	223/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	292			
38	38	56	56	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	293			
38	38	225/4	225/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	294			
