mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text
3	3	35/4	35/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	42		
3	3	6	6	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	43		
4	4	9	9	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	44		
4	4	39/4	39/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	45		
4	4	10	10	2.0		1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	46		
4	4	9	9	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	47		
4	4	10	10	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	48		
4	4	43/4	43/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	49		
4	4	11	11	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	50		
4	4	47/4	47/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	51		
4	4	9	9	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	52		
4	4	10	10	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	53		
4	4	43/4	43/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	54		
4	4	11	11	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	55		
4	4	47/4	47/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	56		
4	4	9	9	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	57		
5	5	12	12	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	58		
5	5	51/4	51/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	59		
5	5	13	13	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	60		
5	5	14	14	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	61		
5	5	12	12	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	62		
5	5	13	13	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	63		
5	5	55/4	55/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	64		
5	5	14	14	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	65		
5	5	59/4	59/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	66		
5	5	51/4	51/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	67		
5	5	13	13	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	68		
5	5	55/4	55/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	69		
5	5	14	14	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	70		
5	5	59/4	59/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	71		
5	5	12	12	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	72		
5	5	13	13	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	73		
5	5	14	14	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	74		
6	6	15	15	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	75		
6	6	17	17	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	76		
6	6	71/4	71/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	77		
6	6	63/4	63/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	78		
6	6	16	16	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	79		
6	6	67/4	67/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	80		
6	6	17	17	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	81		
6	6	15	15	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	82		
6	6	63/4	63/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	83		
6	6	16	16	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	84		
6	6	67/4	67/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	85		
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	86		
6	6	15	15	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	87		
6	6	16	16	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	88		
6	6	67/4	67/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	89		
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	90		
7	7	18	18	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	91		
7	7	19	19	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	92		
7	7	20	20	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	93		
7	7	83/4	83/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	94		
7	7	18	18	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	95		
7	7	75/4	75/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	96		
7	7	19	19	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	97		
7	7	20	20	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	98		
7	7	83/4	83/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	99		
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	100		
7	7	19	19	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	101		
7	7	79/4	79/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	102		
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	103		
8	8	21	21	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	104		
8	8	22	22	2.0		1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	105		
8	8	21	21	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	106		
8	8	22	22	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	107		
8	8	91/4	91/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	108		
8	8	23	23	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	109		
8	8	95/4	95/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	110		
8	8	21	21	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	111		
8	8	87/4	87/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	112		
8	8	22	22	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	113		
8	8	91/4	91/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	114		
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	115		
9	9	24	24	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	116		
9	9	99/4	99/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	117		
9	9	25	25	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	118		
9	9	26	26	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	119		
9	9	107/4	107/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	120		
9	9	24	24	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	121		
9	9	25	25	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	122		
9	9	103/4	103/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	123		
9	9	26	26	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	124		
9	9	107/4	107/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	125		
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	126		
9	9	25	25	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	127		
9	9	103/4	103/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	128		
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	129		
9	9	24	24	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	130		
10	10	27	27	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	131		
10	10	28	28	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	132		
10	10	29	29	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	133		
10	10	27	27	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	134		
10	10	111/4	111/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	135		
10	10	28	28	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	136		
10	10	57/2	57/2	1.0		3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	137		
10	10	59/2	59/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	138		
10	10	27	27	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	139		
10	10	111/4	111/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	140		
10	10	28	28	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	141		
10	10	115/4	115/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	142		
10	10	29	29	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	143		
10	10	119/4	119/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	144		
10	10	27	27	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	145		
10	10	29	29	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	146		
11	11	30	30	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	147		
11	11	123/4	123/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	148		
11	11	31	31	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	149		
11	11	32	32	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	150		
11	11	30	30	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	151		
11	11	31	31	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	152		
11	11	127/4	127/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	153		
11	11	32	32	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	154		
11	11	131/4	131/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	155		
11	11	30	30	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	156		
11	11	31	31	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	157		
11	11	127/4	127/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	158		
11	11	32	32	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	159		
11	11	131/4	131/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	160		
11	11	30	30	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	161		
11	11	31	31	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	162		
11	11	127/4	127/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	163		
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	164		
12	12	33	33	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	165		
12	12	135/4	135/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	166		
12	12	34	34	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	167		
12	12	139/4	139/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	168		
12	12	143/4	143/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	169		
12	12	33	33	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	170		
12	12	35	35	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	171		
12	12	33	33	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	172		
12	12	34	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	173		
12	12	35	35	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	174		
12	12	143/4	143/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	175		
12	12	33	33	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	176		
12	12	34	34	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	177		
12	12	139/4	139/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	178		
12	12	35	35	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	179		
12	12	35	35	1.0		1/2	1/2	Chord	3/4	2	3	1/4	1/4	1	180		
13	13	36	36	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	181		
13	13	37	37	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	182		
13	13	151/4	151/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	183		
13	13	38	38	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	184		
13	13	155/4	155/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	185		
13	13	36	36	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	186		
13	13	147/4	147/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	187		
13	13	37	37	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	188		
13	13	151/4	151/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	189		
13	13	38	38	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	190		
13	13	155/4	155/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	191		
13	13	36	36	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	192		
13	13	147/4	147/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	193		
13	13	37	37	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	194		
13	13	151/4	151/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	195		
13	13	38	38	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	196		
13	13	36	36	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	197		
13	13	37	37	0.75		1/4	1/4	Chord	3/4	2	2	3/16	1/8	3/2	198		
13	13	151/4	151/4	0.25		7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	199		
13	13	38	38	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	200		
14	14	39	39	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	201		
14	14	159/4	159/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	202		
14	14	40	40	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	203		
14	14	163/4	163/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	204		
14	14	41	41	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	205		
14	14	39	39	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	206		
14	14	40	40	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	207		
14	14	163/4	163/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	208		
14	14	41	41	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	209		
14	14	167/4	167/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	210		
14	14	39	39	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	211		
14	14	40	40	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	212		
14	14	163/4	163/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	213		
14	14	41	41	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	214		
14	14	39	39	0.75		0	0	Chord	3/4	2	2	3/16	1/8	3/2	215		
14	14	159/4	159/4	0.25		3/16	3/16	Chord	3/4	2	2	1/16	1/16	1	216		
14	14	40	40	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	217		
14	14	41	41	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	218		
15	15	42	42	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	219		
15	15	171/4	171/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	220		
15	15	43	43	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	221		
15	15	175/4	175/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	222		
15	15	44	44	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	223		
15	15	179/4	179/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	224		
15	15	42	42	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	225		
15	15	43	43	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	226		
15	15	175/4	175/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	227		
15	15	44	44	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	228		
15	15	42	42	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	229		
15	15	171/4	171/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	230		
15	15	43	43	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	231		
15	15	175/4	175/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	232		
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	233		
15	15	42	42	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	234		
15	15	43	43	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	235		
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	236		
16	16	45	45	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	237		
16	16	47	47	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	238		
16	16	45	45	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	239		
16	16	183/4	183/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	240		
16	16	46	46	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	241		
16	16	187/4	187/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	242		
16	16	47	47	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	243		
16	16	191/4	191/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	244		
16	16	45	45	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	245		
17	17	48	48	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	246		
17	17	195/4	195/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	247		
17	17	49	49	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	248		
17	17	199/4	199/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	249		
17	17	50	50	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	250		
17	17	48	48	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	251		
17	17	50	50	0.75		1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	252		
17	17	203/4	203/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	253		
17	17	48	48	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	254		
18	18	51	51	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	255		
18	18	207/4	207/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	256		
18	18	52	52	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	257		
18	18	53	53	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	258		
18	18	51	51	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	259		
18	18	52	52	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	260		
18	18	211/4	211/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	261		
18	18	215/4	215/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	262		
18	18	51	51	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	263		
18	18	52	52	0.75		1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	264		
18	18	211/4	211/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	265		
18	18	215/4	215/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	266		
18	18	51	51	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	267		
18	18	53	53	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	268		
19	19	54	54	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	269		
19	19	56	56	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	270		
19	19	54	54	0.75		0	0	Chord	3/4	1	2	3/16	1/8	3/2	271		
19	19	219/4	219/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	272		
19	19	55	55	0.75		1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	273		
19	19	223/4	223/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	274		
19	19	54	54	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	275		
19	19	223/4	223/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	276		
19	19	56	56	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	277		
19	19	227/4	227/4	0.25		11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	278		
20	20	57	57	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	279		
20	20	231/4	231/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	280		
20	20	58	58	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	281	ornamentTrill	
20	20	119/2	119/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	282		
20	20	239/4	239/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	283		
20	20	57	57	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	284		
20	20	58	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	285		
20	20	59	59	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	286		
20	20	57	57	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	287		
20	20	58	58	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	288		
21	21	60	60	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	289	ornamentTrill	
21	21	243/4	243/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	290		
21	21	61	61	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	291		
21	21	62	62	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	292		
21	21	247/4	247/4	0.25		7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	293		
21	21	62	62	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	294		
21	21	60	60	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	295		
21	21	247/4	247/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	296		
21	21	62	62	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	297		
21	21	62	62	0.75		1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	298		
21	21	251/4	251/4	0.25		11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	299		
